2 Decrease-VER volume-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER volume-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER volume-NNN
2 Decrease-VER volume-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-ENT %-NNN
2 Decrease-VER brightness-NNN by-PRE 70-NUM %-.
2 Increase-VER volume-NNN by-PRE 70-NUM %-.
3 How-QUS many-ADJ kilograms-NNN in-PRE a-PRT gram-NNN
3 Convert-VER 10-NUM USD-NNN to-PRE EGP-NNN
